k1	pc	pwkvn_gloss	indep_hits	mw_body_mention
utsadana	7-323-b	{#*utsadana#}¦ <lex>n.</lex> {%das Einreiben%} <ls>MAHĀVY. 245,379</ls>. Richtig wäre {#utsAdana#}; <ab>vgl.</ab> {#ucCAdana#}.	bhs,sch	
uttaramantrin	7-323-a	{#*uttaramantrin#}¦ <lex>m.</lex> <ab>Pl.</ab> <ab>N. pr.</ab> eines mythischen Landes <ls>MAHĀVY. 154</ls>.	bhs,sch	
valganA	7-373-a	{#*valganA#}¦ <lex>f.</lex> ? <ls>MAHĀVY. 245,1151</ls>.	bhs,sch	
viSAta	7-375-c	{#*viSAta#}¦ <lex>Adj.</lex> ? <ls>MAHĀVY. 99</ls>.	bhs,sch	
viWapana	7-374-b	{#*viWapana#}¦ <lex>n.</lex> <ls>MAHĀVY. 245,827</ls> prākritisch für {#vizWApana#}.	bhs,sch	
vipravAdana	7-375-a	{#*vipravAdana#}¦ <lex>n.</lex> ? <ls>MAHĀVY. 281,229</ls>.	bhs,sch	
vitaRqana	7-374-b	{#*vitaRqana#}¦ <lex>n.</lex> {%Krittelei%} <ls>MAHĀVY. 261,11</ls>.	bhs,sch	
ADAraRamudra	7-318-a	{#*ADAraRamudra#}¦ <lex>m.</lex> {%ein <ab>best.</ab>%} <is>Samādhi</is> <ls>MAHĀVY. 21</ls>.	sch	
AdeSanAprAtihArya	7-318-a	{#*AdeSanAprAtihArya#}¦ <lex>n.</lex> <ab>Bez.</ab> {%einer der Wunderkräfte eines%} <is>Buddha</is> <ls>MAHĀVY. 16</ls>.	sch	
Adftatva	5-249-a	{#*Adftatva#}¦ <lex>n.</lex> {%das Geehrtsein, Berühmtheit%} <ls>ŚĀŚVATA 190</ls>.	sch	
AjYApanIya	7-317-b	{#*AjYApanIya#}¦ <lex>Adj.</lex> wohl {%zum Befehlen geeignet%} <ls>MAHĀVY. 20,27</ls>.	sch	
AkArAnapakAra	7-316-c	{#*AkArAnapakAra#}¦ <lex>m.</lex> {%ein <ab>best.</ab>%} <is>Samādhi</is> <ls>MAHĀVY. 21</ls>.	sch	
Alasyavant	5-249-b	{#*Alasyavant#}¦ <lex>Adj.</lex> {%träge, faul%} <ls>DEŚĪN. 1,46</ls>.	sch	
AmizakiMcitka	7-319-a	{#*AmizakiMcitka#}¦ <lex>Adj.</lex> {%mit irgend einem selbstsüchtigen Zweck verbunden%} <ls>MAHĀVY. 261,26</ls>.	sch	
AnApAnasmfti	7-318-b	{#*AnApAnasmfti#}¦ <lex>f.</lex> {%eine <ab>best.</ab> Uebung des Geistes%} <ls>MAHĀVY. 53</ls>.	sch	
Ari	7-319-b	{#*Ari#}¦ <lex>f.</lex> {%eine%} <is>Khadira</is>-{%Art%} <ls>RĀJAN. 8,30</ls>.	sch	
AryabrahmaviSezacittaparipfcCA	7-319-c	{#*AryabrahmaviSezacittaparipfcCA#}¦ <lex>f.</lex> Titel eines Werkes <ls>MAHĀVY. 65</ls>.	sch	
Awavakayakza	7-317-b	{#*Awavakayakza#}¦ <lex>m.</lex> <ab>Bez.</ab> {%eines <ab>best.</ab>%} <is>Yakṣa</is> <ls>MAHĀVY. 169</ls>.	sch	
BAtkUwa	5-262-b	{#*BAtkUwa#}¦ <lex>m.</lex> <ab>v. l.</ab> für {#BAkUwa#} <ls>ZACH. Beitr.</ls>	sch	
BAvaBawa	7-365-b	{#*BAvaBawa#}¦ <lex>m.</lex> <ab>N. pr.</ab> <ls>MAHĀVY. 177,7</ls> fehlerhaft für {#vAgBawa#}.	sch	
CaRqikAvArika	7-342-b	{#*CaRqikAvArika#}¦ <lex>m.</lex> {%ein <ab>best.</ab> Klosterdiener%} <ls>MAHĀVY. 274,20</ls>.	sch	
CandadAyaka	7-342-b	{#*CandadAyaka#}¦ <lex>Adj.</lex> {%seine Zustimmung gebend%} <ls>MAHĀVY. 281,207</ls>.	sch	
CandapariSudDi	7-342-b	{#*CandapariSudDi#}¦ <lex>f.</lex> {%wohlüberlegte Willensäusserung%} <ls>MAHĀVY. 265,19</ls>.	sch	
CandapratyudDAra	7-342-b	{#*CandapratyudDAra#}¦ <lex>m.</lex> {%Zurückziehung seiner Stimme, Aufhebung eines Beschlusses%} <ls>MAHĀVY. 261,57</ls>.	sch	
CandavAsin	7-342-b	{#*CandavAsin#}¦ <lex>Adj.</lex> {%nach Belieben seine Wohnung wählend%} <ls>MAHĀVY. 281,248</ls>.	sch	
Cinnaplotika	7-342-c	{#*Cinnaplotika#}¦ <lex>Adj.</lex> {%offen vor Einem liegend%} <ls>MAHĀVY. 63,27</ls>.	sch	
DvAjavadAyani	5-257-b	{#*DvAjavadAyani#}¦ <lex>m.</lex> <ab>Patron.</ab> von {#DvAjavada#} <ls><ab>ebend.</ab></ls>	sch	
DvAjavatAyani	5-257-b	{#*DvAjavatAyani#}¦ <lex>m.</lex> <ab>Patron.</ab> von {#DvAjavata#} <ls><ab>ebend.</ab></ls>	sch	Y
DvAjavata	5-257-a	{#*DvAjavata#}¦ <lex>m.</lex> <ab>N. pr.</ab> eines Mannes <is>gaṇa</is> {#tikAdi#} [Page5-257-b] in der <ls>KĀŚ.</ls>	sch	Y
DvanilAlA	5-257-a	{#*DvanilAlA#} und {#*DvanilIlA#}¦ <lex>f.</lex> <ab>v. l.</ab> für {#DvaninAlA#} <ls>ZACH. Beitr. 92</ls>.	sch	
EcCantika	7-328-a	{#*EcCantika#}¦ <lex>Adj.</lex> <ls>MAHĀVY. 110</ls>. Vielleicht fehlerhaft für {#EcCAntika#}.	sch	
Izatpramaya	4-296-b	{#*Izatpramaya#}¦ vielleicht auch {%leicht zu messen%}.	sch	
Jakawa	5-255-a	{#*Jakawa#}¦ <ls>ZACH. Beitr.</ls>	sch	
KaRqaPulla	7-336-b	{#*KaRqaPulla#}¦ <lex>Adj.</lex> {%zerrüttet, délabré%} <ls>MAHĀVY. 281,225</ls>.	sch	
Keqqa	5-253-a	{#*Keqqa#} und {#*˚tAla#}¦ <ls>ZACH. Beitr.</ls>	sch	
PaNgA	5-261-b	{#*PaNgA#}¦ <lex>f.</lex> {%ein <ab>best.</ab> Gemüse%} <ls>ZACH. Beitr.</ls>	sch	
Paraka	5-261-b	{#*Paraka#}¦ <lex>m.</lex> = {#Palaka#} oder {#sParaka#} {%Schild%} <ls>ZACH. Beitr.</ls> und <ls>NÖLDEKE</ls> in <ls>Sitzungsberichte der Berliner Akademie 1883, S. 1109</ls>.	sch	
UKala	3-257-c	{#*UKala#}¦ <lex>m.</lex> {%ein Andropogon%} <ls>RĀJAN. 8,126</ls>.	sch	
UhApohasamarTa	7-326-c	{#*UhApohasamarTa#}¦ <lex>Adj.</lex> {%fähig%} (das Erforderliche) {%hinzuzufügen oder abzuziehen%} <ls>MAHĀVY. 245,1061</ls>.	sch	
UhanA	7-326-c	{#*UhanA#}¦ ({#UhAnA#} <ab>geschr.</ab>) <lex>f.</lex> = {#UhA#} <ls>MAHĀVY. 245,1060</ls>.	sch	
UnaviMSativarzopasaMpAdana	7-326-b	{#*UnaviMSativarzopasaMpAdana#}¦ <lex>n.</lex> {%das Weihen eines Mönchs vor seinem 20sten Jahre%} <ls>MAHĀVY. 261</ls>.	sch	
UrRAparikarmaRa	7-326-b	{#*UrRAparikarmaRa#}¦ (!) <lex>m.</lex> {%das Waschenlassen%} <ab>u. s. w.</ab> {%von Wolle durch nichtverwandte Frauen%} <ls>MAHĀVY. 260</ls>.	sch	
UyamAnavarDana	7-326-b	{#*UyamAnavarDana#}¦ ({#uyamAna˚#} <ab>geschr.</ab>) <lex>n.</lex> {%das Webenlassen eines Gewandes in grösseren Umfange%} (als der Geber beabsichtigte) <ls>MAHĀVY. 260</ls>.	sch	
aBedyaparivAra	7-306-d	{#*aBedyaparivAra#}¦ <lex>m.</lex> {%ein undurchdringlicher Kreis von Umstehenden%} <ls>MAHĀVY. 244</ls>.	sch	
aBisaMkzepikam	7-306-c	{#*aBisaMkzepikam#}¦ <lex>Adv.</lex> <ls>MAHĀVY. 245</ls>. <ls n="MAHĀVY.">1069</ls>.	sch	
aRqAraka	1-284-b	{#*aRqAraka#}¦ <lex>m.</lex> <ab>N. pr.</ab> eines Mannes. <ab>Pl.</ab> {%sein Geschlecht%} <ls>KĀŚ.</ls> zu <ls>P. 2,4,69</ls>.	sch	
aSOklya	6-296-c	{#*aSOklya#}¦ <lex>n.</lex> <ab>Nom. abstr.</ab> <ls>PAT.</ls> zu <ls>P. 5,1,119, Vārtt. 10</ls>.	sch	
aSiTilatva	6-296-b	{#*aSiTilatva#}¦ <lex>n.</lex> <ab>Nom. abstr.</ab> <ls>PAT.</ls> zu <ls>P. 5,1,119, Vārtt. 9</ls>.	sch	
aSvakAya	7-313-c	{#*aSvakAya#}¦ <lex>m.</lex> {%Cavallerie%} <ls>MAHĀVY. 183</ls>.	sch	
aSvasta	6-296-c	{#*aSvasta#}¦ <lex>Adj.</lex> <ls>P. 7,2,16</ls>, <ab>Sch.</ab> fehlerhaft für {#ASvasta#}, wie <ls>KĀŚ.</ls> liest.	sch	
abBogIna	4-294-a	{#*abBogIna#}¦ <lex>Adj.</lex> <ls>MAHĀBH. 5,4,b.</ls>	sch	
acCamaRqaka	5-241-a	{#*acCamaRqaka#}¦ <ls>ZACH. Beitr.</ls>	sch	
acintyaja	3-247-b	{#*acintyaja#}¦ <lex>m.</lex> {%Quecksilber%} <ls>RĀJAN. 13,109</ls>.	sch	
agArdaBaraTika	2-285-c	{#*agArdaBaraTika#}¦ <lex>Adj.</lex> {%nicht für einen von Eseln gezogenen Wagen geeignet%}.	sch	
agfhapati	1-283-a	{#*agfhapati#} und {#*˚ka#}¦ <is>gaṇa</is> {#cArvAdi#}.	sch	
agopa	1-283-a	<hom>1.</hom> {#*agopa#}¦ <lex>m.</lex> {%kein Kuhhirt%} <ls>P. 2,2,14</ls>, <ab>Sch.</ab>	sch	
agozpada	2-286-a	{#*agozpada#}¦ <lex>Adj.</lex> {%nicht von Rindern besucht%}.	sch	
agrAmyakanda	2-286-a	{#*agrAmyakanda#}¦ <lex>m.</lex> {%ein <ab>best.</ab> Zwiebelgewächs%}.	sch	
agraBojana	1-283-b	{#*agraBojana#}¦ <lex>n.</lex> {%der erste Bissen%} <ls>P. 4,4,66</ls>, <ab>Sch.</ab>	sch	Y
ajakranda	1-284-a	{#*ajakranda#}¦ <lex>m.</lex> <ab>Pl.</ab> <ab>N. pr.</ab> einer Völkerschaft <ls>KĀŚ.</ls> zu <ls>P. 4,2,125</ls>.	sch	
ajanASam	1-284-a	{#*ajanASam#}¦ <ab>Absol.</ab> {%wie eine Ziege verloren geht%} <ls>P. 3,3,45</ls>, <ab>Sch.</ab>	sch	
akaSApa	1-282-a	{#*akaSApa#}¦ <lex>m.</lex> <ab>N. pr.</ab> eines Mannes <is>gaṇa</is> {#SuBrAdi#} in der <ls>KĀŚ.</ls>	sch	
akata	1-282-a	{#*akata#}¦ <lex>Adj.</lex> <ls>P. 5,1,121</ls>.	sch	
alipta	7-310-a	{#*alipta#}¦ <lex>Adj.</lex> {%unbefleckt%} <ls>MAHĀVY. 19</ls>.	sch	Y
amAyAvin	7-307-c	{#*amAyAvin#}¦ <lex>Adj.</lex> {%nicht hinterlistig%} <ls>MAHĀVY. 126</ls>.	sch	
amftanirgama	5-244-c	{#*amftanirgama#}¦ <lex>m.</lex> <ab>desgl.</ab> <ls>ZACH. Beitr.</ls>	sch	
anATakuwI	1-288-a	{#*anATakuwI#} und {#*anATasaBA#}¦ <lex>f.</lex> <ls>P. 2,4,24</ls>, <ab>Sch.</ab>	sch	
antrAvaraRa	5-243-b	{#*antrAvaraRa#}¦ <lex>n.</lex> {%Eingeweide%} <ls>DEŚĪN. 1,85</ls>. <ls n="DEŚĪN. 1,">157</ls>.	sch	
anuKaqgam	1-289-a	{#*anuKaqgam#}¦ <lex>Adv.</lex> <is>gaṇa</is> {#parimuKAdi#} in der <ls>KĀŚ.</ls>	sch	
apaTakalpanA	4-292-c	{#*apaTakalpanA#}¦ bedeutet {%Neid, Missgunst%} nach <ls>GAL.</ls>	sch	
aparacAnarAwa	2-290-a	{#*aparacAnarAwa#}¦ <lex>n.</lex> <ab>N. pr.</ab> einer Oertlichkeit <ls>KĀŚ.</ls> zu <ls>P. 6,2,103</ls>.	sch	
aparezukAzaSamI	1-291-b	{#*aparezukAzaSamI#}¦ <lex>f.</lex> <ab>N. pr.</ab> <ls>KĀŚ.</ls> zu <ls>P. 2,1,50</ls>.	sch	
arUpabrahmaDAtu	7-308-d	{#*arUpabrahmaDAtu#}¦ (<ab>v. l.</ab> {#arUpya˚#}) <lex>m.</lex> oder <lex>f.</lex> <ab>N. pr.</ab> einer ätherischen Region <ls>MAHĀVY. 155</ls>.	sch	
arUpyabrahmaDAtu	7-308-d	{#*arUpyabrahmaDAtu#}¦ <ab>s.</ab> {#arUpa˚#}	sch	
araRyacArI	5-245-a	{#*araRyacArI#}¦ <lex>f.</lex> {%eine <ab>best.</ab> Pflanze%} <ls>DEŚĪN. 2,6</ls>.	sch	
arhadGawIcakra	7-309-d	{#*arhadGawIcakra#}¦ <lex>n.</lex> {%eitler Wortschwall%} oder {%Blendwerk%} <ls>MAHĀVY. 139</ls>.	sch	
arkAtmaja	3-253-c	{#*arkAtmaja#}¦ <lex>m.</lex> {%der Planet Saturn%} <ls>RĀJAN. 13,199</ls>.	sch	
artni	5-245-a	{#*artni#}¦ <lex>m.</lex> = <hom>1.</hom> {#aratni#} <ls>SUBHŪTI</ls> bei <ls>RĀYAMUKUṬA</ls> zu <ls>AK.</ls> nach <ls>AUFRECHT</ls>.	sch	
asTI	7-315-d	{#*asTI#}¦ <lex>Adv.</lex> mit {#kar#} {%mit Eifer betrieben%} <ls>MAHĀVY. 99</ls>. Richtig {#AsTI#}.	sch	
asaMlulita	5-248-a	{#*asaMlulita#}¦ <lex>Adj.</lex> {%nicht verwirrt%} (Haar) <ls>VYUTP. 12</ls>.	sch	
asaMmatAvavAda	7-315-a	{#*asaMmatAvavAda#}¦ <lex>m.</lex> {%unautorisirtes Predigen%} <ls>MAHĀVY. 261</ls>.	sch	
asiDAra	7-315-b	{#*asiDAra#}¦ <lex>m.</lex> {%eine <ab>best.</ab> Hölle%} <ls>MAHĀVY. 215</ls>.	sch	
astamitAvavAda	7-315-c	{#*astamitAvavAda#}¦ <lex>m.</lex> {%das Predigen nach Sonnenuntergang%} <ls>MAHĀVY. 261</ls>.	sch	
astraKadira	5-248-b	{#*astraKadira#}¦, <ab>vgl.</ab> {#*asraKadira#}, welches nach <ls>LEUMANN</ls> wohl richtiger ist.	sch	
atfptikft	2-287-c	{#*atfptikft#}¦ <lex>Adj.</lex> = {#asecana#} <ls>HĀR. 220</ls>.	sch	
atimahiman	1-285-a	{#*atimahiman#}¦ <lex>Adj.</lex> {%überaus gross%} <ls>P. 4,1,11</ls>, <ab>Sch.</ab>	sch	
atisvan	1-285-b	{#*atisvan#}¦ <ab>v. l.</ab> für {#atiSvan#} <is>gaṇa</is> {#pakzAdi#} in der <ls>KĀŚ.</ls>	sch	
avEvartacakra	7-312-c	{#*avEvartacakra#}¦ <lex>n.</lex> Titel eines Werkes <ls>MAHĀVY. 651</ls>.	sch	
avadravya	5-246-a	{#*avadravya#}¦ <lex>n.</lex> <ab>v. l.</ab> für {#apadravya#} <ls>ZACH. Beitr.</ls>	sch	Y
avagaRanA	5-246-a	{#*avagaRanA#}¦ <lex>f.</lex> {%Geringschätzung, Verachtung%} <ls>DEŚĪN. 1,17</ls>.	sch	
avanaha	7-310-d	{#*avanaha#}¦ <lex>m.</lex> {%Ausstopfung%} <ls>MAHĀVY. 261,90</ls>.	sch	
avaracAmara	7-311-a	{#*avaracAmara#}¦ <lex>m.</lex> <ab>N. pr.</ab> eines <is>Dvīpa</is> <ls>MAHĀVY. 154</ls>.	sch	
avasnAna	5-246-b	{#*avasnAna#}¦ <lex>n.</lex> {%Mehl von Linsen%} <ab>u. s. w.</ab> <ls>DEŚĪN. 2,110</ls>.	sch	
avazwamBanatA	7-311-b	{#*avazwamBanatA#}¦ <lex>f.</lex> {%das Sichstützen auf%} (<ab>Loc.</ab>) <ls>MAHĀVY. 192</ls> ({#daRqe 'va˚#} zu lesen).	sch	
avijYapti	7-311-d	{#*avijYapti#}¦ <lex>f.</lex> {%das Nichtzuerkennengeben, Nichtäusserung%} (einer Regung) <ls>MAHĀVY. 101</ls>.	sch	
avipariRAmavartin	7-312-a	{#*avipariRAmavartin#}¦ <lex>Adj.</lex> {%nicht der Veränderung%} oder {%Umwandlung unterworfen%} <ls>MAHĀVY. 245,881</ls>.	sch	
avyantIkfta	7-312-d	{#*avyantIkfta#}¦ <lex>Adj.</lex> {%nicht entfernt, — entlassen%} <ls>MAHĀVY. 245,637</ls>.	sch	
ayaHSalmalIvana	7-308-a	{#*ayaHSalmalIvana#}¦ <lex>n.</lex> {%eine <ab>best.</ab> Hölle%} <ls>MAHĀVY. 215</ls>.	sch	
ayavana	5-244-c	{#*ayavana#}¦ <lex>n.</lex> {%das Nichtvermischen%} <ls>SĀY.</ls> zu <ls>ŚAT. BR. 1,7,2,26</ls> in einer Etymologie.	sch	
ayonitva	6-295-c	{#*ayonitva#}¦ <lex>n.</lex> <ab>Nom. abstr.</ab> <ls>PAT.</ls> zu <ls>P. 5,1,119. Vārtt. 9</ls>.	sch	
ayugalaparRa	5-244-c	{#*ayugalaparRa#}¦ <lex>m.</lex> <ab>dass.</ab> <ls><ab>ebend.</ab> S. 23, Z. 6</ls>.	sch	
ayukparRa	5-244-c	{#*ayukparRa#}¦ <lex>m.</lex> {%<bot>Alstonia scholaris</bot>%} <ls>DEŚĪN. S. 9, Z. 8</ls>.	sch	
azwamakaBUmi	7-313-d	{#*azwamakaBUmi#}¦ <lex>f.</lex> {%eine der zum heiligen Wandel führenden Stufen%} <ls>MAHĀVY. 150</ls>.	sch	
baliSi	5-261-b	{#*baliSi#} und {#*baliSI#}¦ <lex>f.</lex> {%Angel%}. {#va˚#} geschrieben.	sch	
cAmarajju	5-254-b	{#*cAmarajju#}¦ <lex>f.</lex> <is>gaṇa</is> {#devapaTAdi#} in der <ls>KĀŚ.</ls> {#vAmarajju#} <ab>v. l.</ab>	sch	
cArumanta	7-341-b	{#*cArumanta#}¦ <lex>m.</lex> wohl = {#cArumant#} 1〉 <ls>MAHĀVY. 180,10</ls>.	sch	
caturdant	7-340-b	{#*caturdant#}¦ <lex>Adj.</lex> {%vier Zähne habend%} <ls>KĀŚ.</ls> zu <ls>P. 5,4,141</ls>.	sch	
caturyoginIsaMpuwa	6-301-a	{#*caturyoginIsaMpuwa#}¦ Titel eines Werkes <ls>TĀRAN. 331</ls>.	sch	
cetaHparyAyajYAna	7-342-a	{#*cetaHparyAyajYAna#}¦ <lex>n.</lex> {%Kenntniss dessen, was im Geiste Anderer vorgeht,%} <ls>MAHĀVY. 14</ls>.	sch	
cittAnuparivartin	7-387-d	{#*cittAnuparivartin#}¦ <lex>Adj.</lex> {%den Gedanken folgend%} <ls>MAHĀVY. 109,85</ls>.	sch	
cyutisaMkrama	7-342-a	{#*cyutisaMkrama#}¦ <lex>m.</lex> {%der Uebergang in eine andere Geburt%} <ls>MAHĀVY. 148,13</ls>.	sch	
cyutyupapatti	7-342-a	{#*cyutyupapatti˚#}¦ {%das Verschwinden aus einer Welt und das Geborenwerden in einer andern%} <ls>MAHĀVY. 7</ls>.	sch	
dIkzya	5-256-b	{#*dIkzya#}¦ <lex>Adj.</lex> = {#dIkzaRIya, Sizya#} <ls>ZACH. Beitr.</ls>	sch	
dOzWulya	7-349-c	{#*dO[H]zWulya#}¦ <lex>n.</lex> {%schlechtes Betragen%} <ls>MAHĀVY. 109,20</ls>.	bhs	
dUrAdDi	3-264-a	{#*dUrAdDi#}¦ <ab>s. u.</ab> {#dO/rArdDi#}.	sch	
duzWulArocana	7-348-d	{#*duzWulArocana#}¦ <lex>n.</lex> {%das Verrathen eines argen Vergehens an eine nicht geweihte Person%} <ls>MAHĀVY. 261,6</ls>.	sch	
duzWulapraticCAdana	7-348-d	{#*duzWulapraticCAdana#}¦ <lex>n.</lex> {%das Verheimlichen eines argen Vergehens%} <ls>MAHĀVY. 261,54</ls> ({#duzWulA˚#} <ab>gedr.</ab>).	sch	
ekagraha	2-296-b	{#*ekagraha#}¦ <lex>m.</lex> = {#asadgraha#} 2〉 <ls>H. an. 2,87</ls>.	sch	
ekajvAlI	7-327-a	{#*ekajvAlI#}¦ <lex>Adv.</lex> mit {#BU#} {%ganz in Glut gerathen%} <ls>MAHĀVY. 223,178</ls>.	sch	
eqavaRa	7-327-d	{#*eqavaRa#} und {#*eqavarRa#}¦ <lex>m.</lex> <ab>desgl.</ab> <ls><ab>ebend.</ab></ls>	sch	
evaMBAgIya	7-328-a	{#*evaMBAgIya#}¦ <lex>Adj.</lex> {%von solcher Art%} <ls>MAHĀVY. 104</ls>.	sch	
evaMpramuKa	7-328-a	{#*evaMpramuKa#}¦ <lex>Adj.</lex> {%solches an der Spitze habend%} <ls>MAHĀVY. 244</ls>.	sch	
evaMsaMjYin	7-328-a	{#*evaMsaMjYin#}¦ <lex>Adj.</lex> {%eine solche Vorstellung habend%} <ls>MAHĀVY. 15</ls>.	sch	
evaMyukta	4-297-b	{#*evaMyukta#}¦ <lex>Adj.</lex> {%so beschaffen%} <ls>MAHĀBH. 5,57,b.</ls>	sch	
evamAyuzyaparyanta	7-328-a	{#*evamAyuzyaparyanta#}¦ <lex>Adj.</lex> {%von solcher Lebensdauer%} <ls>MAHĀVY. 15</ls>.	sch	
gaNgezwikA	5-253-b	{#*gaNgezwikA#}¦ <lex>f.</lex> {%ein <ab>best.</ab> Baum%} <ls>ZACH. Beitr.</ls>	sch	
gaRqIkowanaka	7-337-b	{#*gaRqIkowanaka#}¦ <lex>n.</lex> {%der Klöpfel eines solchen Gong%} <ls>MAHĀVY. 279</ls>. <ab>Vgl.</ab> {#gaRqirAkowitA#} <ls>DIVYĀVAD. 335,13</ls>.	sch	
gaYjapati	7-336-d	{#*gaYjapati#}¦ <lex>m.</lex> etwa {%Schatzmeister%} <ls>MAHĀVY. 186,32</ls>.	sch	
glaTamlaTa	7-339-d	{#*glaTamlaTa#}¦ (!) <lex>m.</lex> <ls>MAHĀVY. 245,1166</ls>.	sch	
goSAlIputra	7-339-b	{#*goSAlIputra#}¦ ({#goSalI˚#} <ab>gedr.</ab>) <lex>m.</lex> = {#goSAli#} <ls>MAHĀVY. 179</ls>.	sch	
grAvaReya	2-300-b	{#*grAvaReya#}¦ <lex>m.</lex> <ab>Pl.</ab> <ab>N. pr.</ab> eines Kriegerstammes. <ab>Sg.</ab> {%ein Fürst desselben%} <is>gaṇa</is> {#yODeyAdi#} in der <ls>KĀŚ.</ls>	sch	
guRastu	7-338-b	{#*guRastu#} <lex>n.</lex> und {#*˚stU#} <lex>f.</lex>¦ {%Baumwolle%} <ls>RĀJAN. 4,191</ls> nebst <ab>v. l.</ab>	sch	
ikawI	5-249-c	{#*ikawI#}¦ oder {#*ikkawI#} <lex>f.</lex> {%eine <ab>best.</ab> Pflanze%} <ls>ZACH. Beitr.</ls>	sch	
indrotTApana	5-249-c	{#*indrotTApana#}¦ <lex>n.</lex> {%das Erwecken%} <is>Indra</is>ʼs <ls>DEŚĪN. 1,82</ls>. <ab>Vgl.</ab> <ls>WILSON, Sel. Works 1,127</ls>.	sch	
jYAnAnuparivartin	7-344-a	{#*jYAnAnuparivartin#}¦ <lex>Adj.</lex> {%der höheren Erkenntniss folgend%} <ls>MAHĀVY. 9,14</ls>.	sch	
jamBam	7-343-a	{#*jamBam#}¦ <ab>Absol.</ab> <ls>KĀŚ.</ls> zu <ls>P. 7,1,61</ls>.	sch	
janapadakalyARa	7-342-d	{#*janapadakalyARa#}¦ <lex>n.</lex> Titel einer Erzählung <ls>MAHĀVY. 245,1222</ls>.	sch	
javanaprajYa	7-343-b	{#*javanaprajYa#}¦ <lex>Adj.</lex> {%schnell begreifend%} <ls>MAHĀVY. 48,29</ls>.	sch	
jawAmaha	7-342-c	{#*jawAmaha#}¦ <lex>m.</lex> {%ein <ab>best.</ab> Fest%} <ls>MAHĀVY. 229</ls>.	sch	
jihvAniScAraka	7-343-c	{#*jihvAniScAraka˚#}¦ <lex>Adv.</lex> {%mit Ausstreckung der Zunge%} <ls>MAHĀVY. 263,58</ls>.	sch	
jihvAsPowakam	7-343-c	{#*jihvAsPowakam#}¦ <lex>Adv.</lex> {%mit der Zunge schnalzend%} <ls>MAHĀVY. 263,63</ls>.	sch	
jyotirjyotizparAyaRa	7-344-b	{#*jyotirjyotizparAyaRa#}¦ <lex>Adj.</lex> <ls>MAHĀVY. 147,4</ls>.	sch	
jyotistamaHparAyaRa	7-344-b	{#*jyotistamaHparAyaRa#}¦ <lex>Adj.</lex> <ls>MAHĀVY. 147,3</ls>.	sch	
jyotizmati	7-344-b	{#*jyotizmati#}¦ (!) <lex>m.</lex> <ab>N. pr.</ab> eines <is>Bodhisattva</is> <ls>MAHĀVY. 23,54</ls>.	bhs	
jyotizpraBaratna	7-344-b	{#*jyotizpraBaratna#}¦ ({#˚praBA˚#} <ab>gedr.</ab>) <lex>n.</lex> {%ein <ab>best.</ab> Edelstein%} <ls>MAHĀVY. 235,21</ls>.	sch	
kANguzWa	5-252-a	{#*kANguzWa#}¦ <ls>ZACH. Beitr.</ls>	sch	Y
kAkanIla	5-251-c	{#*kAkanIla#}¦ {%ein <ab>best.</ab> Baum%} <ls>ZACH. Beitr.</ls>	sch	
kAlAtikrAnta	7-332-a	{#*kAlAtikrAnta#}¦ <lex>n.</lex> = {#kAlAtikramaRa#} <ls>MAHĀVY. 281,5</ls>.	sch	
kAmamiTyAcAra	7-331-c	{#*kAmamiTyAcAra#}¦ <lex>m.</lex> {%verkehrter Wandel in Betreff sinnlicher Neigungen, das Fröhnen verbotenen sinnlichen <ab n="Neigungen">N.</ab>%} <ls>MAHĀVY. 92</ls>.	sch	
kAraRyakAraka	7-331-c	{#*kAraRyakAraka#}¦ <lex>m.</lex> <ls>MAHĀVY. 186,167</ls> wohl fehlerhaft für {#kAraRAkAraka#} {%Marterer, Henker%}.	sch	
kArttikAtyayika	7-331-d	{#*kArttikAtyayika#}¦ <lex>n.</lex> {%das Vergehen eines Mönchs, wenn er ein Extrakleid länger aufbewahrt als bis zum%} <is>Kārttika</is>-{%Vollmond%}. <ls>MAHĀVY. 260,30</ls>.	sch	
kAvAcikA	7-332-a	{#*kAvAcikA#}¦ <lex>f.</lex> <ls>MAHĀVY. 238</ls>, <ab>v. l.</ab>	sch	
kIkasaka	2-298-b	{#*kIkasaka#}¦ <lex>n.</lex> {%Knochen%} <ls>RĀJAN. 18,68</ls>.	sch	
kUwAgAraDAraRI	7-333-c	{#*kUwAgAraDAraRI#}¦ <lex>f.</lex> Titel eines Werkes [Page7-333-d] <ls>MAHĀVY. 65,64</ls>.	sch	
kacavara	5-251-b	{#*kacavara#}¦ <lex>m.</lex> = {#pUrowi#} <ls>ZACH. Beitr.</ls>	sch	
kadAcitkatva	7-329-b	{#*kadAcitkatva#}¦ <lex>n.</lex> <ls>MAHĀVY. 245,159</ls> fehlerhaft für {#kAdA˚#}.	sch	
kakkiRqa	5-251-b	{#*kakkiRqa#}¦ <lex>m.</lex> {%Eidechse%} <ls>ZACH. Beitr.</ls>	sch	
kalAma	7-330-c	{#*kalAma#}¦ <lex>n.</lex> <ls>MAHĀVY. 233</ls> fehlerhaft für {#kalama#} <lex>m.</lex> {%Schreibrohr%}.	sch	
